,0
2000511,166
2000719,222
2001532,242
2001908,27
2001975,272
2002146,64
2002269,230
2002533,12
2002798,248
2003157,166
2003322,283
2003976,100
2004237,303
2004253,236
2005810,183
2005861,89
2006211,138
2006375,197
2006394,128
2006627,87
2007055,301
2007419,148
2008871,296
2009553,11
2009871,228
2012431,224
2012536,418
2013306,42439
2016333,101
2017299,223
2025747,1833
2026150,234
2026558,74
2027130,270
2027497,328
2028378,325
2029260,281
2030323,191
2030608,76
2031726,43045
2032090,162
2032949,183
2032956,17
2033232,22
2033396,225
2033470,217
2034205,223
2034676,445
2035009,45
2035447,31
2035565,158
2036182,86
2036968,232
2037251,128
2037609,86
2037924,97
2038466,302
2038890,193
2039908,190
2040287,91
2040352,53
2040613,95
2043895,305
2044423,23
2045272,240
2046371,323
2049417,86
2049687,76
2053884,31
2054355,123
2055211,95
2055480,32
2055634,203
2055795,268
2056158,302
2056323,130
